TimeStamp,Latitude,Longitude,Device_ID,DATA_SOURCE
"2013-12-31 07:57:00",51.520694,-0.113757,40054,"PHONES"
"2013-12-31 08:09:00",51.520139,-0.126876,40054,"PHONES"
"2013-12-31 08:09:00",51.521318,-0.136238,40054,"PHONES"
"2013-12-31 08:15:00",51.520854,-0.135204,40054,"PHONES"
"2013-12-31 08:20:00",51.521295,-0.127508,40054,"PHONES"
"2013-12-31 08:39:00",51.521487,-0.136819,40054,"PHONES"
"2013-12-31 09:09:00",51.521070,-0.135650,40054,"PHONES"
"2013-12-31 09:12:00",51.521034,-0.137047,40054,"PHONES"
"2013-12-31 09:39:00",51.521184,-0.135555,40054,"PHONES"
"2013-12-31 10:09:00",51.520425,-0.135345,40054,"PHONES"
"2013-12-31 10:28:00",51.520218,-0.135758,40054,"PHONES"
"2013-12-31 10:39:00",51.520333,-0.136404,40054,"PHONES"
"2013-12-31 10:55:00",51.520119,-0.136019,40054,"PHONES"
"2013-12-31 10:57:00",51.520872,-0.136804,40054,"PHONES"
"2013-12-31 10:58:00",51.521442,-0.136268,40054,"PHONES"
"2013-12-31 11:01:00",51.520495,-0.136484,40054,"PHONES"
"2013-12-31 11:13:00",51.519956,-0.135799,40054,"PHONES"
"2013-12-31 11:20:00",51.520516,-0.135136,40054,"PHONES"
"2013-12-31 11:25:00",51.521616,-0.135135,40054,"PHONES"
"2013-12-31 11:31:00",51.520537,-0.135551,40054,"PHONES"
"2013-12-31 11:31:00",51.521207,-0.135498,40054,"PHONES"
"2013-12-31 11:55:00",51.520955,-0.135503,40054,"PHONES"
"2013-12-31 12:25:00",51.521758,-0.135962,40054,"PHONES"
"2013-12-31 12:32:00",51.521241,-0.137089,40054,"PHONES"
"2013-12-31 12:55:00",51.520747,-0.136873,40054,"PHONES"
"2013-12-31 13:04:00",51.471954,-0.155704,40054,"PHONES"
"2013-12-31 13:14:00",51.272407,-0.247756,40054,"PHONES"
"2013-12-31 13:18:00",51.168447,-0.269456,40054,"PHONES"
"2013-12-31 13:18:00",51.168756,-0.270323,40054,"PHONES"
"2013-12-31 13:18:00",51.168146,-0.269695,40054,"PHONES"
"2013-12-31 13:21:00",51.082151,-0.348745,40054,"PHONES"
"2013-12-31 13:22:00",51.081271,-0.349882,40054,"PHONES"
"2013-12-31 13:35:00",50.858267,-0.835392,40054,"PHONES"
"2013-12-31 13:53:00",50.528443,-1.179143,40054,"PHONES"
"2013-12-31 13:55:00",50.508607,-1.157222,40054,"PHONES"
"2013-12-31 14:23:00",50.354011,-1.150911,40054,"PHONES"
"2013-12-31 14:26:00",50.342860,-1.209046,40054,"PHONES"
