TimeStamp,Latitude,Longitude,Device_ID,DATA_SOURCE
"2013-12-31 00:00:00",51.520279,-0.115360,40056,"TAXIS"
"2013-12-31 00:11:00",51.520204,-0.114298,40056,"TAXIS"
"2013-12-31 00:41:00",51.520242,-0.114150,40056,"TAXIS"
"2013-12-31 01:11:00",51.520306,-0.113738,40056,"TAXIS"
"2013-12-31 01:41:00",51.519912,-0.115201,40056,"TAXIS"
"2013-12-31 02:11:00",51.519744,-0.114359,40056,"TAXIS"
"2013-12-31 02:41:00",51.519728,-0.115361,40056,"TAXIS"
"2013-12-31 03:11:00",51.519850,-0.115349,40056,"TAXIS"
"2013-12-31 03:41:00",51.520285,-0.114175,40056,"TAXIS"
"2013-12-31 04:11:00",51.520006,-0.115237,40056,"TAXIS"
"2013-12-31 04:41:00",51.519783,-0.114490,40056,"TAXIS"
"2013-12-31 05:11:00",51.519119,-0.115590,40056,"TAXIS"
"2013-12-31 05:41:00",51.519547,-0.114371,40056,"TAXIS"
"2013-12-31 06:11:00",51.519305,-0.114053,40056,"TAXIS"
"2013-12-31 06:41:00",51.520376,-0.115300,40056,"TAXIS"
"2013-12-31 07:11:00",51.520962,-0.115439,40056,"TAXIS"
"2013-12-31 07:41:00",51.519876,-0.115709,40056,"TAXIS"
"2013-12-31 08:11:00",51.519717,-0.115415,40056,"TAXIS"
"2013-12-31 08:37:00",51.521642,-0.105482,40056,"TAXIS"
"2013-12-31 08:37:00",51.522977,-0.106836,40056,"TAXIS"
"2013-12-31 08:37:00",51.522063,-0.106006,40056,"TAXIS"
"2013-12-31 08:39:00",51.522682,-0.106211,40056,"TAXIS"
"2013-12-31 08:41:00",51.522286,-0.105900,40056,"TAXIS"
"2013-12-31 08:41:00",51.522408,-0.107242,40056,"TAXIS"
"2013-12-31 08:56:00",51.520767,-0.115668,40056,"TAXIS"
"2013-12-31 08:56:00",51.519465,-0.114041,40056,"TAXIS"
"2013-12-31 09:01:00",51.522502,-0.106896,40056,"TAXIS"
"2013-12-31 09:26:00",51.519358,-0.115016,40056,"TAXIS"
"2013-12-31 09:34:00",51.521822,-0.106953,40056,"TAXIS"
"2013-12-31 09:36:00",51.522031,-0.105706,40056,"TAXIS"
"2013-12-31 09:36:00",51.521813,-0.106423,40056,"TAXIS"
"2013-12-31 10:03:00",51.522885,-0.106822,40056,"TAXIS"
"2013-12-31 10:03:00",51.522118,-0.105811,40056,"TAXIS"
"2013-12-31 10:05:00",51.522682,-0.105468,40056,"TAXIS"
"2013-12-31 10:06:00",51.522819,-0.107318,40056,"TAXIS"
"2013-12-31 10:07:00",51.523041,-0.106141,40056,"TAXIS"
"2013-12-31 10:08:00",51.522442,-0.105516,40056,"TAXIS"
"2013-12-31 10:09:00",51.521715,-0.105516,40056,"TAXIS"
"2013-12-31 10:09:00",51.521777,-0.106467,40056,"TAXIS"
"2013-12-31 10:12:00",51.522437,-0.106435,40056,"TAXIS"
"2013-12-31 10:12:00",51.521793,-0.106067,40056,"TAXIS"
"2013-12-31 10:13:00",51.522327,-0.106921,40056,"TAXIS"
"2013-12-31 10:16:00",51.521269,-0.107176,40056,"TAXIS"
"2013-12-31 10:26:00",51.522927,-0.106699,40056,"TAXIS"
"2013-12-31 10:29:00",51.519324,-0.115581,40056,"TAXIS"
"2013-12-31 10:30:00",51.522305,-0.106289,40056,"TAXIS"
"2013-12-31 10:38:00",51.523012,-0.105668,40056,"TAXIS"
"2013-12-31 10:38:00",51.521956,-0.106193,40056,"TAXIS"
"2013-12-31 10:39:00",51.522045,-0.106078,40056,"TAXIS"
"2013-12-31 10:39:00",51.521919,-0.105752,40056,"TAXIS"
"2013-12-31 11:10:00",51.522741,-0.106444,40056,"TAXIS"
"2013-12-31 11:10:00",51.521297,-0.105678,40056,"TAXIS"
"2013-12-31 11:10:00",51.523154,-0.106333,40056,"TAXIS"
"2013-12-31 11:10:00",51.521614,-0.106394,40056,"TAXIS"
"2013-12-31 11:10:00",51.521639,-0.106258,40056,"TAXIS"
"2013-12-31 11:11:00",51.521951,-0.107029,40056,"TAXIS"
"2013-12-31 11:13:00",51.522842,-0.105770,40056,"TAXIS"
