Date,Equipment.Id,Failure.Equipment.Type,Op.Amperage,Op.Temperature,Op.Voltage,Rotor Speed
2013-05-18 00:00:00,"CNC_001",0.000000,27.414278,83.006012,223.040607,300.000000
2013-05-18 00:00:00,"CNC_002",0.000000,23.392089,84.664427,222.542191,330.000000
2013-05-18 00:00:00,"CNC_003",0.000000,28.837703,72.713346,228.126364,270.000000
2013-05-18 00:00:00,"CNC_004",0.000000,29.038260,82.888740,229.221487,292.000000
2013-05-18 00:00:00,"CNC_005",0.000000,29.514392,88.310187,228.488078,313.000000
2013-05-18 00:00:00,"CNC_006",0.000000,22.836042,70.275171,221.944235,269.000000
2013-05-18 00:00:00,"CNC_007",0.000000,27.394239,76.291067,222.766050,302.000000
2013-05-18 00:00:00,"CNC_008",0.000000,22.315360,86.954713,225.900361,298.000000
2013-05-18 00:00:00,"CNC_009",0.000000,26.303148,73.468393,220.065072,252.000000
2013-05-18 00:00:00,"CNC_010",0.000000,28.506663,78.901318,224.681633,338.000000
2013-05-18 00:00:00,"CNC_011",0.000000,20.166076,87.487968,225.998957,266.000000
2013-05-18 00:00:00,"CNC_012",0.000000,23.871787,89.842468,222.018737,311.000000
2013-05-18 00:00:00,"CNC_013",0.000000,25.078300,78.182353,220.636507,294.000000
2013-05-18 00:00:00,"CNC_014",0.000000,22.428833,76.434129,222.136776,264.000000
2013-05-18 00:00:00,"CNC_015",0.000000,27.828509,87.700945,220.891574,254.000000
2013-05-18 00:00:00,"CNC_016",1.000000,24.948444,78.933294,225.342888,291.000000
2013-05-18 00:00:00,"CNC_017",0.000000,23.468440,73.198102,225.716590,283.000000
2013-05-18 00:00:00,"CNC_018",0.000000,21.962335,74.660178,225.994677,284.000000
2013-05-18 00:00:00,"CNC_019",0.000000,23.589619,84.156217,226.160862,295.000000
2013-05-18 00:00:00,"CNC_020",0.000000,24.357908,73.229673,220.779985,288.000000
2013-05-18 00:00:00,"CNC_021",0.000000,24.104193,85.945000,221.655435,330.000000
2013-05-18 00:00:00,"CNC_022",0.000000,27.554981,85.317828,229.213253,258.000000
2013-05-18 00:00:00,"CNC_023",0.000000,24.870629,83.054492,228.651685,263.000000
2013-05-18 00:00:00,"CNC_024",0.000000,27.513956,84.072032,223.353300,325.000000
2013-05-18 00:00:00,"CNC_025",0.000000,25.292526,84.034501,222.977578,296.000000
2013-05-18 00:00:00,"CNC_026",0.000000,24.551396,85.792801,229.017628,341.000000
2013-05-18 00:00:00,"CNC_027",0.000000,27.980536,84.327040,225.131286,296.000000
2013-05-18 00:00:00,"CNC_028",0.000000,24.473333,85.489036,227.158814,346.000000
2013-05-18 00:00:00,"CNC_029",2.000000,27.285962,84.321010,225.971654,332.000000
2013-05-18 00:00:00,"CNC_030",0.000000,20.175427,77.967806,221.442240,276.000000
2013-05-18 00:00:00,"CNC_031",0.000000,24.187416,84.152421,223.070628,297.000000
2013-05-18 00:00:00,"CNC_032",0.000000,24.858670,72.017507,224.635849,268.000000
2013-05-18 00:00:00,"CNC_033",0.000000,26.933443,83.396596,223.744689,269.000000
2013-05-18 00:00:00,"CNC_034",0.000000,24.386221,85.022526,220.472854,268.000000
2013-05-18 00:00:00,"CNC_035",0.000000,23.410908,88.071099,225.968794,323.000000
2013-05-18 00:00:00,"CNC_036",0.000000,27.801624,72.132335,220.353142,254.000000
2013-05-18 00:00:00,"CNC_037",0.000000,24.732400,83.183402,223.054462,257.000000
2013-05-18 00:00:00,"CNC_038",0.000000,21.878723,78.457464,220.962267,261.000000
2013-05-18 00:00:00,"CNC_039",0.000000,25.207151,85.197485,220.615592,270.000000
2013-05-18 00:00:00,"CNC_040",0.000000,23.040919,87.541010,223.924822,312.000000
2013-05-18 00:00:00,"CNC_041",0.000000,28.101106,88.589034,228.457862,251.000000
2013-05-18 00:00:00,"CNC_042",0.000000,24.526851,83.334507,225.713684,285.000000
2013-05-18 00:00:00,"CNC_043",0.000000,20.807983,74.462569,225.474351,328.000000
2013-05-18 00:00:00,"CNC_044",0.000000,24.594600,85.157395,228.355637,295.000000
2013-05-18 00:00:00,"CNC_045",0.000000,25.860838,84.381156,226.859926,342.000000
2013-05-18 00:00:00,"CNC_046",0.000000,27.003508,84.680110,221.498610,288.000000
2013-05-18 00:00:00,"CNC_047",0.000000,27.872144,83.347254,225.561154,307.000000
2013-05-18 00:00:00,"CNC_048",0.000000,26.430971,84.360673,226.718985,296.000000
2013-05-18 00:00:00,"CNC_049",0.000000,25.073705,89.371532,222.803962,309.000000
2013-05-18 00:00:00,"CNC_050",0.000000,20.147622,74.896092,226.832198,327.000000
2013-05-18 00:00:00,"CNC_051",0.000000,22.264782,81.503000,221.429029,338.000000
2013-05-18 00:00:00,"CNC_052",0.000000,29.117400,76.509498,220.335245,263.000000
2013-05-18 00:00:00,"CNC_053",0.000000,24.473004,85.099733,222.630106,331.000000
2013-05-18 00:00:00,"CNC_054",0.000000,24.604839,85.094904,225.978378,295.000000
2013-05-18 00:00:00,"CNC_055",0.000000,26.007271,85.382446,220.136172,337.000000
